plz;supermarkt;adresse
66500;Wasgau;Pirmasenser Straße 3
66849;EDEKA Herb;Bahnstraße 28
66871;Haus der Kulinarischen Landstraße;Hauptstraße 42
66877;Aldi;August-Süßdorf-Straße 5
66901;ALDI;Festwiesenplatz 1
66901;Wasgau;Sander Straße 24
66904;CAP-Markt;Hauptstraße 40
66907;Wasgau Markt;Ringstraße 36
66907;Norma;Bahnhofstraße 6
66909;Netto Markt;Hauptstraße 10
66914;NORMA Filiale;Georg-Fleischer-Straße 5
66914;Edeka;In den Zickelwiesen 17
66914;Penny;Vor der Muhl 2
66917;Edeka;Im Bruch 11
66917;Norma;Im Bruch 7
66953;Reformhaus Escher;Hauptstraße 47
66953;Aldi Süd;Zweibrücker Straße 143
66953;Netto Marken-Discount;Carl-Schurz-Straße 50
66953;Wasgau;Carl-Schurz-Straße 33
66953;Lidl;Zweibrücker Straße 116
66953;Netto;Teichstraße 27
66953;Edeka Flaschkowatz Pirmasens;Landauer Straße 3-9
66954;Wasgau Frischemarkt;Gersbacher Straße 4
66954;Kaufland;Wiesenstraße 5
66954;Aldi Süd;Waisenhausstraße 49
66954;Lidl;Arnulfstraße 68
66954;Wasgau;Gersbacher Straße 4
66954;Netto;Waisenhausstraße 20
66954;Wasgau;Arnulfstraße 71
66954;Netto;Teichstraße 27
66954;Kaufland Pirmasens-Fehrbach;Zweibrücker Straße 230
66955;Kaufland;Wiesenstraße 5
66955;Wasgau;Bitscher Straße 85
66955;Penny;Blocksbergstraße 52
66969;Wasgau;Pirmasenser Straße 46
66987;Netto;Gewerbegebiet Ost 5
66987;CAP-Markt;Wiesenweg 28
66994;ALDI SÜD;Industriestraße 10
66994;Lidl;An der Reichenbach 2d
66994;SBK Dahn;Weißenburger Straße 16
67059;Penny;Bahnhofstraße 12
67061;Penny;Schützenstraße 
67061;Edeka aktiv Markt Scholz;Saarlandstraße 131
67063;Lidl;Industriestraße 10
67063;Schwarzwurzel;Jakob-Binder-Straße 10
67063;Dogan Supermarkt;Prinzregentenstraße 62
67063;Aldi;Eschenbachstraße 71
67063;Dogan megacenter;Industriestraße 9
67065;Lidl;Hoheloogstraße 12
67065;Frischkauf;Niederfeldstraße 14
67065;Aldi Süd;Maudacher Straße 135
67067;EDEKA Kochenburger;Schweigener Straße 4
67067;Netto Marken-Discount;Hochfeldstraße 32-36
67069;Rewe;Oppauer Straße 129
67069;Aldi Süd;Kurt-Schumacher-Straße 72
67069;Lidl;Edigheimer Straße 137
67069;Penny;Edigheimer Straße 125
67071;Netto;Mannheimer Straße 7
67071;Metro Ludwighafen;Oderstraße 2
67098;Lidl;Bruchstraße 10
67098;Nah und gut Stiegler;Am Obstmarkt 
67098;Hit;Bruchstraße 7a
67098;Netto;Im Rustengut 64
67098;Leprima;Sägmühle 17
67105;Kaufland;Waldspitzweg 1
67105;Lidl;Waldseer Straße 106
67105;Pamukkale;Hauptstraße 49
67105;Dilmaç Markt;Hauptstraße 9
67105;Aldi Süd;Waldspitzweg 4
67112;Rewe;Neustadter Straße 76
67112;Real;An der Fohlenweide 21
67112;Lidl;Ludwigshafener Straße 52
67117;Rewe;Landauer Straße 8
67122;nah und gut Kissel;Ludwigstraße 34, 36, 38
67125;Aldi;Riedstraße 1a
67125;Lidl;Riedstraße 1
67125;Tegut;Neustadter Straße 2-4
67126;Edeka Schneider;Im Keltenfeld 1
67126;Edeka xpress;Keltenstraße 10
67127;Handel und Vertrieb von Öko-Produkten, Fix Klaus;Hauptstraße 35
67133;PENNY-Markt;Kurpfalzstraße 29
67141;Edeka Kissel;Otto-Dill-Straße 
67141;Netto;Carl-Reiß-Straße 21
67141;Aldi;Industriestraße 10
67146;Lidl;Buschweg Nord 2
67146;Wasgau Frischemarkt;Appengasse 4
67146;Aldi;Buochser Straße 2
67165;WASGAU;Albert-Einstein-Allee 43
67227;Real;Frankenthaler Straße 67
67227;Kaufland;Wormser Straße 109
67227;Aldi;Wormser Straße 99
67227;Norma;Schraderstraße 34
67227;Rewe;Meergartenweg 3
67227;Penny;Benderstraße 1
67227;Lidl;Schraderstraße 42
67227;Lidl;Wormser Straße 97
67227;Netto;Ernst-Rahlson-Straße 2
67227;Aldi;Daniel-Bechtel-Straße 1
67227;Netto;Mörscher Straße 141
67227;Netto;Eisenbahnstraße 23
67227;Edeka Stiegler Frankenthal;Foltzring 33
67240;Globus;Südring 2
67240;Aldi Süd;Südring 4
67245;Rewe;Landmundstraße 1-3
67251;Edeka;Herxheimer Straße 58
67256;Penny;Almenweg 4
67258;Rewe;Frankenthaler Straße 29
67269;Globus Grünstadt;Daimlerstraße 23
67292;HIT;Hitzfeldstraße 1
67292;Lidl;Hitzfeldstraße 4
67292;Aldi;Woogmorgen 14
67304;Penny;Kerzenheimer Straße 94
67304;HIT;Konrad-Adenauer-Straße 1
67304;Lidl;In den Geldäckern 2
67304;Aldi Süd;Am Gielbrunnen 2
67304;Rewe;Hermann-Graf-Straße 16
67307;Netto;Dreisener Straße 45
67307;Wasgau;Dreisener Straße 40
67308;Edeka Röss;Stetter Straße 5
67346;Kaufland;Auestraße 
67346;E center Speyer;Am Rübsamenwühl 4
67346;Rewe;Iggelheimer Straße 
67346;Rewe City;Maximilianstraße 50
67346;Futterhaus;Iggelheimer Straße 
67346;denn's Biomarkt;Bahnhofstraße 41
67346;Edeka;St.-German-Straße 8
67346;Aldi;Iggelheimer Straße 18
67346;Lidl;Iggelheimer Straße 
67346;Aldi Süd;Tullastraße 53
67346;Norma;Kurt-Schumacher-Straße 35
67346;Mix Markt;Dudenhofer Straße 44
67346;Penny;Dudenhofer Straße 12
67354;Bioland;Schwegenheimer Straße 5
67354;Lidl;Lingenfelder Straße 23
67354;Netto;Berghäuser Straße 140
67360;Rewe;Robertsauer Straße 1
67360;Akyildiz Markt;Lehrer-Ackermann-Straße 2
67363;Wasgau;Untere Hauptstraße 114
67365;Penny;Im Breiten Pfuhl 2
67365;Rewe;Im Breiten Pfuhl 1
67368;Mehlmanufaktur;Holzmühle 
67373;Zürker's Hofladen & Hofschänke;Neustadter Straße 14
67373;Penny;Speyerer Straße 11a
67373;Rewe;Speyerer Straße 11b
67433;Aldi Süd;Martin-Luther-Straße 58
67433;Lidl;Martin-Luther-Straße 62
67433;Penny;Branchweilerhofstraße 51
67433;Abraxas Naturkost;Friedrichstraße 35
67433;Markant Nah & Frisch;Konrad-Adenauer-Straße 6
67433;Reformhaus Tamme;Hauptstraße 84
67433;Edeka Schneider;Am Speyerbach 2
67433;Rewe;Martin-Luther-Straße 67
67433;Aldi Süd;Eugenie-Abresch-Straße 2
67433;Globus;Adolf-Kolping-Straße 173
