plz;supermarkt;adresse
65795;Il Casale Italienische Feinkost;Am Markt 8
65795;LIDL;Im Boden 19
65812;Tegut;Königsteiner Straße 31-33
65817;Tegut;Valterweg 1
65824;Aldi;Am Kronberger Hang 9
65824;Arzu Supermarkt;Marktplatz 41
65824;Shang-Lee Superstore;Katharina-Paulus-Straße 6
65929;Rewe;Königsteiner Straße 9
65933;Lidl;Elektronstraße 62
65933;Netto Marken-Discount;Autogenstraße 20
65933;Rewe;Alte Falterstraße 3-5
65934;Rewe;Mainzer Landstraße 786-798
65936;Sahan Supermarkt;Carl-Sonnenschein-Straße 98
68159;IEME Supermarkt;Böckstraße 5
68159;Norma;NA 5
68161;Aldi Süd;29-32 c(8.474895, 49.4875165)
68161;Aldi Süd;2 c(8.4696569, 49.4917947)
68161;Go Asia;2a-4 c(8.4708504, 49.4845641)
68161;Lidl;4-6 c(8.4681511, 49.4894621)
68161;REWE Viering;NA c(8.4715362, 49.4869238)
68161;Rewe City;NA c(8.4659606, 49.4865593)
68161;Rewe;29-32 c(8.4747434, 49.4874816)
68163;Aldi;Neckarauer Straße 126
68163;Rewe;NA NA
68169;Hüdaverdi;Maybachstraße 18
68169;Netto Marken-Discount City;Waldhofstraße 31
68219;Penny;Durlacher Straße 18-20
68219;Rewe;Relaisstraße 21-27
68259;Aldi Süd;Gotenstraße 12-16
68259;Markthaus;Mosbacher Straße NA
68259;Penny Markt;Normannenstraße 5-9
68305;Aldi Süd;Alte Frankfurter Straße 31
68305;EDEKA xpress;Kasseler Straße 154
68305;Edeka aktiv Markt Hey;Waldstraße 139
68305;Rewe Supermarkt;Alte Frankfurter Straße 23
68307;Rewe;Amselstraße 10
68309;ALDI Süd;Spreewaldallee 44-50
68309;Edeka Aktiv Markt Pietsch;Geraer Ring 6
68309;Penny Markt;Freiberger Ring 12
68309;real,-;Spreewaldallee 44-50
68519;Reformhaus Bacher;Robert-Schuman-Straße c(8.5656331, 49.5264746)
68526;EDEKA;Wallstadter Straße 53
68535;Ayhan;Amselweg 4
68549;LIDL;Feudenheimer Straße 61
68623;Netto Marken-Discount;Andreasstraße 4-6
68723;Asia Markt;Carl-Benz-Straße 2a
68723;Ihre Kette Extra;Schubertstraße 36
68723;Netto Marken-Discount;NA NA
68723;nah & gut Wolf;Friedrich-Ebert-Straße 76
68753;Netto;Mannheimer Straße 134
68766;Käserei Müller;Rathausstraße 36
69115;ALDI SÜD;Poststraße 11
69115;Alnatura;Bergheimer Straße 41
69115;Alnatura;Langer Anger 7-9
69115;Alnatura;Rohrbacher Straße 73
69115;Heil's Feinschmeckerladen;Bahnhofstraße 15
69115;Kaufland;Kurfürsten-Anlage 61
69115;Masala;Bahnhofstraße 55-57
69115;Nahkauf;Rohrbacher Straße 72
69115;REWE City;Kurfürsten-Anlage 6
69115;Scheck-In-Center;Kurfürsten-Anlage 21-23
69115;Serpa Markt;Eppelheimer Straße 21
69115;denn's Biomarkt;Bahnhofstraße 33
69117;City-Markt Rüdinger;Hauptstraße 198
69117;Reformhaus Vita Nova Escher;Hauptstraße 7
69117;Tegut;Hauptstraße 110
69118;Edeka Sabine Bischoff;In der Neckarhelle 1-3
69118;Rewe Müller;Am Grünen Hag 2
69120;Annas Unverpacktes;Ladenburger Straße 37
69120;NA;Berliner Straße 47
69120;REWE city;Ladenburger Straße 68
69121;Fair & Quer;Steubenstraße 52
69121;Penny;Dossenheimer Landstraße 40
69123;Fair & Quer;Adlerstraße 1
69124;Lidl;Heuauer Weg 2
69126;Nahkauf;Forum 5
69151;Kornblume Neckargemünd;Wiesenbacher Straße 36
69168;Rewe;Güterstraße 1
69214;Netto Marken-Discount;Seestraße 70
69245;Netto Marken-Discount;Bahnhofstraße c(8.7839518, 49.3590166)
69412;Kaufland;Neuer Weg-Nord 47
69434;Nachbarschaftsmarkt Günther;Adalbert-Stifter-Straße 7
69469;Aldi;Bergstraße 21
69469;Rewe;Grundelbachstraße 20
69469;denn's Biomarkt;Bergstraße 41
69509;Karizma;Weinheimer Straße 2
69509;Lidl;Jahnstraße 10
69517;Nah und gut Grimm;Hauptstraße 15
70173;Go Asia;NA NA
70173;Rewe City;Eberhardstraße 28
70173;Rewe City;Kronenstraße 7
70173;Tegut;Königstraße 26
70173;Trieu Asia Shop;Eberhardstraße 1-3
70174;Lidl;Breitscheidstraße 12
70176;Edeka;Schloßstraße 104
70176;Markt Ecke;Senefelderstraße 29
70178;Aldi Süd;Sophienstraße 21
70178;Edeka;Rotebühlstraße 125
70178;Edeka;Sophienstraße 21
70178;Lidl;Hauptstätter Straße 111
70178;Lidl;Marienstraße 12
70178;Naturgut Bio-Supermarkt;Tübinger Straße 1
70178;Rewe;Hauptstätter Straße 147
70178;Rewe;Marienplatz NA
70178;SUPER MARKT SÜD;NA NA
70180;Netto Marken-Discount;Heusteigstraße 105
70180;Rewe;Olgastraße 86
70182;Lidl;Blumenstraße 18-20
70186;Aldi Süd;Gablenberger Hauptstraße 32
70186;Naturgut;Gablenberger Hauptstraße 29
70186;Nergiz Markt;Gablenberger Hauptstraße 77
70188;CAP-Markt;Landhausstraße 243
70188;Norma;Ostendstraße 110
70188;REWE CITY;Ostendstraße 90
70188;Rewe;Ostendstraße 75
70191;Lidl;Rosensteinstraße 55
70191;Norma;Nordbahnhofstraße 61
70191;Tegut;Mailänder Platz 7
70192;Edeka;Helfferichstraße 5
70193;CAP-Markt;Hölderlinplatz 4
70193;Lidl;Schwabstraße 91
70195;Lidl;Griegstraße 2
70197;Lidl;Unter dem Birkenkopf 19
70197;Penny;Schwabstraße 53-61
70197;Rewe City;Schwabstraße 43
70197;Rewe;NA NA
70197;Rewe;Rotenwaldstraße NA
70199;Bonus;Böblinger Straße 95
70327;BETA Asia Supermarkt;Hedelfinger Straße 55
70327;CAP-Markt;Augsburger Straße 361
70327;Lidl;Heiligenwiesen 35
70327;Lâm’s Asia-Markt;Ulmer Straße 355
70327;OMEGA SORG;Kesselstraße 13
70327;Rewe City;Ulmer Straße 296
70327;Ümmet Supermarkt;Ulmer Straße 292
70329;Aldi Süd;Augsburger Straße 740
70329;CAP-Markt;Augsburger Straße 684
70329;Rewe;Otto-Hirsch-Brücken 17
70372;Indian Food;Badstraße 15
70372;Lidl;Wildunger Straße 4
70374;CENTa;Normannstraße 2
70374;Lidl;Hofener Straße 126
70374;NA;Memmingerstraße 20
70376;Aldi Süd;Bottroper Straße 18
70376;E aktiv markt Lutz;Löwentorstraße 257
70376;Lidl;Bottroper Straße 8a
70376;Netto Marken-Discount;Nagoldstraße 55
70378;Netto Marken-Discount;Aldinger Straße 50
70435;ALDI SÜD;Schwieberdinger Straße 62
70435;Edeka;Stammheimer Straße NA
70435;Lidl;Adestraße 30
70435;Rewe;Burgunderstraße 32
70435;Rewe;Unterländer Straße 49
70435;Yazgülü;Schwieberdinger Straße 56
70437;Lukullus Polnische Spezialitäten;Erligheimer Straße 8
70437;Penny;Haldenrainstraße 77
70439;REWE City;Freihofstraße 22-24
70469;ALDI SÜD;Stuttgarter Straße 9
70469;Lidl;Stuttgarter Straße 32
70469;NA;Grazer Straße 34
70469;Organix-Biomarkt;Stuttgarter Straße 23
70469;Selgros Großmarkt;Heilbronner Straße 385
70469;Tegut;Alarichstraße 6
70499;CAP-Markt;NA NA
70499;Lidl;Gerlinger Straße 96
70499;Lidl;Pforzheimer Straße 338-342
70499;Mix Markt;Ernst-Reuter-Platz 4
70499;Naturgut Bio-Supermarkt;Pforzheimer Straße 357
70499;Penny Markt;Löwenmarkt 5
70499;Penny;Krötenweg 3
70499;Rewe;Löwen-Markt 5
70563;Aldi Süd;Schwabenplatz 1
70563;Grünschnabel;Sigmundtstraße 1
70563;Kaufland;Schwabenplatz 1
70563;Neukauf;Hauptstraße 5
70563;denn's Biomarkt;Robert-Koch-Straße 2
70565;Bonus;Rohrer Höhe 32-34
70567;Damaskieno Supermarkt;NA NA
70567;Erdi;Widmaierstraße 110
70567;Kaufland;Rembrandtstraße 47
70567;Lidl;Heigelinstraße 4
70567;Lidl;Vaihinger Straße 115
70569;Bonus;Büsnauer Platz 1
70597;Alnatura;Epplestraße 12
70597;Edeka City;Epplestraße 4
70597;Naturgut Bio-Supermarkt;Löwenstraße 39
70597;Rewe City;Epplestraße 40-44
70597;Tegut;Epplestraße 14
70599;Edeka xpress;Im Asemwald 46
70619;Edeka;Kirchheimer Straße 67
70734;Edeka;Bahnhofstraße 22
70736;Rewe;Bühlstraße 138
70736;Rewe;Stuttgarter Straße 32
70736;Vulcano Italienische Spezialitäten;Schorndorfer Straße 27
70771;Aldi Süd;Karlsruher Straße 7
70771;Aldi Süd;Maybachstraße 1
70771;BONUS;Jahnstraße 53
70771;Edeka E Center;Hohenheimer Straße 7
70771;Edeka;Filderstraße 52
70771;Lidl;Heilbronner Straße 2
70771;Lidl;Höfer Äcker 3
70771;Lidl;Maybachstraße 10
70771;Netto;Hauptstraße NA
70771;Norma;Tübinger Straße 11
70794;Aldi Süd;Karlstraße 42
70794;Erdi Biomarkt;NA NA
70794;Gebauers Ecenter;Raiffeisenstraße 23
70794;Lidl;Heinrich-Hertz-Straße 27
70794;Lidl;Nürtinger Straße 87
70794;Netto;NA NA
70794;Penny;Reutlinger Straße 30
70794;Rewe Güntner;Karlstraße 60
70794;Rewe;Im Köller 9
70806;Edeka Rubin;Bahnhofsplatz 2
70806;Penny;Bahnhofstraße 2
70806;Rewe;Neckarstraße 1
70806;Rewe;Rosensteinstraße 2
70806;Rewe;Salamanderplatz 1
70825;Edeka;Feuerseeweg 2/1
70825;denn's Biomarkt;Johannes-Daur-Straße 18
70839;Lidl;Weilimdorfer Straße 18
70839;Naturata;Untere Bergstraße 1
70839;Weltladen;Schulstraße 21
71032;Lidl;Stuttgarter Straße 68
71032;Picks raus Sonderposten;Rudolf-Diesel-Straße 12
71034;Edeka;Wolfgang-Brumme-Allee 27
71034;Nahkauf;Berliner Straße 1
71034;Penny;Königsberger Straße 12
71063;Aldi Süd;Mercedesstraße 15-19
71063;Lidl;Leonberger Straße 25
71063;Rewe;Leonberger Straße 1
71065;Kaufland;Schwertstraße 7
71069;Vietz Frischemarkt;Talstraße 61
71083;Aldi Süd;Kalkofenstraße 50
71083;E-Center;NA NA
71083;Kaufland;Schießtäle 2
71083;Keimling Naturkost;Tübinger Straße 37
71083;Çiloğlu;Goethestraße 35
71088;CAP-Markt;Eberhardstraße 10
71088;Lidl;Olgastraße 2
71088;Penny Holzgerlingen;Tübinger Straße 111
71093;Edeka;Hauptstraße 48
71093;Rewe;Lachentalstraße 15
71101;Frischmarkt Knittel;Jägerstraße 7
71106;Edeka Karow-Schäfer;Maichinger Straße 33
71111;Lidl;Bahnhofstraße 22
71120;Aldi;Ancienne Avenue de la Gare NA
71120;Edeka;Dätzinger Straße NA
71120;Intermarché Super;Avenue du 8 Juin 1944 4 bis
71126;Edeka;Raiffeisenstraße 20
71126;Lidl;Mötzinger Straße 27
71131;Aldi Süd;Gutmeisterweg 2
71144;Knittel;Tübinger Straße 21
71149;Penny Bondorf;Bahnhofstraße 13
71154;CAP-Markt;Hauptstraße 30
71154;Lidl;Ferdinand-Porsche-Straße 20
71159;Lebensmittel Dengler;Ochsenweg 6
71159;Netto;Nagolder Straße 40
71229;Gerhard Wendel;Bergstraße 21
71229;Makkah;Graf-Ulrich-Straße 9
71254;Ital. Feinkost Ricci;Autenstraße 11/1
71254;NKD;Münchinger Straße 6
71254;Netto;NA NA
71254;Saraykent Frischmarkt;Kirchgartenstraße 1
71263;E-Center;Hermann-Schnaufer-Straße 7
71263;Netto;Merklinger Straße 7
71272;CAP-Markt;Waldhornplatz 4
71272;ELLYS Spezialitaeten;Bahnhofstraße 3
71272;Renninger Supermarkt;Bahnhofstraße 5
71296;Edeka;Mönsheimer Straße 63
71296;Lidl;Mönsheimer Straße 65
71332;Naturgut Bio Supermarkt;Marktgasse 5
71332;Reformhaus;Fronackerstraße 10-12
71332;Sapori Del Sud  italienische Feinkost;Kurze Straße 38
71332;Tegut;Albert-Roller-Straße 2
71334;Adi Markt;Salierstraße 5
71334;CAP-Markt;Rathausstraße 27
71336;Netto Marken-Discount;Benningerstraße 1
71336;REWE Helmut Fili;Neustadter Hauptstraße 135
71364;Bonus;Forststraße 42
71364;Naturkostinsel;Alfred-Kärcher-Straße 6
71364;Reformhaus Escher;Bengelstraße 10
71364;Rewe;Adlerplatz 1
71364;Sadex Werksverkauf;Lise-Meitner-Straße 14
71384;Aldi Süd;Großheppacher Straße 60/1
71384;CAP-Markt;Buhlstraße 27
71384;EDEKA Supermarkt;Benzstraße 9
71522;Fischer Mühle Biomarkt;Annonay-Straße 1
71522;Müller;Grabenstraße 15
71570;Rewe;Hauptstraße 83
71570;bi1;Les Grandes Terres NA
71634;Alex Markt Internationale Lebensmittel;Geisinger Straße 15
71634;Asia Shop D&O;Eberhardstraße 6
71634;Başak Feinkost;Geisinger Straße 15
71636;Aldi Süd;Martin-Luther-Straße 82
71638;Aldi Süd;Aldinger Straße 170
71638;Alnatura;Myliusstraße 7
71638;Lidl;Hindenburgstraße 60
71638;Mein Supermarkt;Oststraße 8-10
71638;denn's Biomarkt;Danziger Straße 40
71640;Frischecenter KIWI;Friesenstraße 4
71640;Norma;Westfalenstraße 27
71640;Penny;Friesenstraße 32
71665;Naturata bio-markt;Stuttgarter Straße 46
71665;Obstbau Mauch;Illinger Straße 22
71672;Reformhaus Sieber;Ziegelstraße 5
71686;Gemmi;Cannstatter Straße 17
71691;Aldi Süd;Weidengasse 5
71691;Edeka Schönland;Marktplatz 20
71711;Aldi Süd;Im Langen Feld 7
71711;Kaufland;Steinbeisstraße 15
71711;Norma;Bahnhofstraße 7
71726;E aktiv markt;Hirschmann-Ring 6
71729;Edeka;Mittelstraße 6
71729;Ihr Platz;Pflasterstraße 16
72070;Aldi Süd;Rosentalstraße 8/1
72070;Alnatura;Pfleghofstraße 6
72070;Biomarkt West;Herrenberger Straße 36
72070;Edeka Aktiv Markt Tübingen;Nonnengasse 14
72070;Löwen-Laden;Kornhausstraße 5
72070;Nah und gut Schöck;Herrenberger Straße 38
72070;Naturkost Kornblume;Haaggasse 15
72070;Rewe;Schleifmühleweg 36
72070;Speicher Umgedacht;Beim Nonnenhaus 3
72070;Talea;Hafengasse 1
72070;Vitalia;Kornhausstraße 19
72072;Aldi Süd;Wohlboldstraße 3
72072;Alnatura;Hügelstraße 3
72072;Der Marktladen;Europaplatz 2
72072;E-Center;Eugenstraße 74
72072;Kaufland;Reutlinger Straße 44
72072;Lidl;Schweickhardtstraße 11
72072;Loretto Markt Salam;Katharinenstraße 27
72072;Netto;Eisenbahnstraße 28
72072;Real;Alte Landstraße 45
72072;Rewe;Europaplatz 1
72072;Rote Rübe;Aixer Straße 44
72074;Dorfladen Pfrondorf;Bei der Kirche 1
72074;Rewe;Dorfackerstraße 19
72074;Rewe;Mohlstraße 26
72076;Der Marktladen;Vogelbeerweg 4
72076;Penny;Hartmeyerstraße 7
72076;Schmackes;Hartmeyerstraße 11
72076;Treff 3000;Berliner Ring 20
72076;nah und gut;Berliner Ring 20
72108;EDEKA Neukauf;Graf-Wolfegg-Straße 27
72108;Früchtehaus;NA NA
72108;Ikram Supermarkt;Güterbahnhof 4
72108;Kaufland;Tübinger Straße 2
72108;Netto;Gebhard-Müller-Straße 10
72108;Norma;Königstraße 50
72116;Biomammut;Eisenbahnstraße 2-8
72116;Lidl;Ofterdinger Straße 5
72116;Netto Marken-Discount;Bahnhofstraße 52
72119;Edeka;Nagolder Straße 25
72119;Hofladen;Tübinger Straße 22
72135;Penny;Breitwasenring 58
72138;Aldi Süd;Wannweiler Straße 50
72138;Penny K´furt;Wannweiler Straße 3
72149;Netto;Seebronner Straße 13
72160;Rewe;Bahnhofplatz 1
72172;ALDI Süd;Bahnhofstraße 68
72172;Edeka neukauf;Bahnhofstraße 60
72172;Lidl;Stuttgarter Straße 11
72172;Norma Discounter;Malmsheimerstraße 1
72172;dm Markt;Bahnhofstraße 49
72181;Netto Marken-Discount;Stumpacher Weg 2
72184;Getränke Digeser;Alter Bahnhof 9
72186;Lidl;Robert-Bosch-Straße 27
72186;Netto Marken-Diskount;Robert-Bosch-Straße 34
72202;Drogeriemarkt MÜLLER - Filiale Nagold;Marktstraße 28
72202;Edeka;NA NA
72202;GEFAKO Getränkemarkt;Grafenwiesenstraße 15
72202;Lidl;Calwer Straße 42
72202;Metzger-Einkauf;Robert-Koch-Straße 10
72202;Netto;Am Hopfengarten 1
72213;Edeka;c(8.607399, 48.5852235) 1234649473
72250;Norma;Stuttgarter Straße 24-26
72250;Reformhaus Kretschmann;Reichsstraße 39
72250;Rewe;Ludwig-Jahn-Straße 34
72250;nah und gut Rentschler;Ringstraße 29
72285;Lidl;Dieselstraße 9
72290;Edeka;Arthur-Hehl-Straße 20
72336;Lidl;Bahnhofstraße 34
72336;Raduga;Olgastraße 8
72336;Reformhaus Paradiesgärtli;Freihofstraße 1
72336;Weltladen;Neue Straße 39
72358;Bäckerei Hölle Lebensmittelmarkt;Raiffeisenstraße 3
72359;Lidl;Robert-Koch-Straße 1
72359;Netto Marken-Discount;Robert-Koch-Straße 3
72379;Lidl;Stettener Halde 13
72379;Rewe;Holger-Crafoord-Straße 3
72393;EDEKA Bernhart;Hausener Straße 15
72393;Rewe;Jahnstraße 14
72414;EDEKA;Hechinger Straße 48
72414;Netto Marken-Discount;Rudolf-Diesel-Straße 2
72458;BIOFRITZ;Schillerstraße 15
72525;Aldi Süd;Gewerbestraße 18
72525;Kaufland;Hauptstraße 110
72525;Lidl;Hauptstraße 104
72555;Aldi Süd;Gutenbergstraße 46
72555;Lidl;Heerstraße 10
72555;Lidl;Max-Eyth-Straße 23
72574;Aldi Süd;Im Unterwässer 3
72574;E neukauf Bad Urach;Münsinger Straße 36
72574;Netto Marken-Discount;Gebrüder-Gross-Straße 1
72574;Rewe;Gebrüder-Gross-Straße 11
72574;Rewe;Seilerweg 2-4
72581;Aldi Süd;Im Schwöllbogen 11
72581;Netto;Karlstraße 82
72582;Ulrich Kraft - Lebensmittelmarkt "Ums Eck";Uracher Straße 47
72587;Landmarkt;Aglishardter Straße 5
72622;Aldi Süd;Robert-Bosch-Straße 1
72622;Bereket Markt;Heiligkreuzstraße 28
72622;Glas & Beutel;NA NA
72622;Kaufland;Europastraße 7
72622;Lidl;NA NA
72622;Netto Marken-Discount;Robert-Bosch-Straße 3
72631;Aldi Süd;Riedstraße 6
72636;Bonus;Hauptstraße 24
72636;Edeka;In den Gernäckern 2
72636;Lidl;In den Gernäckern 16
72644;Aldi Süd;Nürtinger Straße 84
72649;Aldi Süd;Nürtinger Straße 66
72649;Rewe;Esslinger Straße 11
72654;Aldi Süd;Robert-Bosch-Straße 2
72654;Lidl;Karlstraße 5
72654;Netto Marken-Discount;Karlstraße 8
72654;Rewe Huber;Robert-Bosch-Straße 2/1
72666;Penny Markt;Alleenstraße 46
72760;CAP-Markt;Dresdner Platz 1
72760;E-Center;Emil-Adolff-Straße 21
72760;Netto;Föhrstraße 32
72760;REWE Steinbeck;Föhrstraße 40
72760;Topkar;Carl-Diem-Straße 10
72762;Penny Ringelbach;Ringelbachstraße 109
72762;Penny;Pestalozzistraße 3
72762;Rewe;Ringelbachstraße 17
72762;denn's Biomarkt;Gminderstraße 7
72764;Alnatura;Obere Wässere 3-7
72764;Asia Laden;Lindenstraße 15
72764;Iguo Asiashop;Bahnhofstraße 1/1
72764;Rewe;Albstraße 60
72766;E-Center;Am Heilbrunnen 88
72766;Edeka;August-Lämmle-Straße 17
72766;NA;Alte Dorfstraße 25
72768;Netto;Württemberger Straße 2
72770;Bonus;Brühlstraße 8
72770;Mix Markt;Olgastraße 9
72770;Nahkauf;Bäckergasse 5
72793;Norma;Kirchstraße 19
72800;Edeka;In der Raite 20
72800;Poco Einrichtungsmarkt;Reutlinger Straße 105
72805;Rewe;Bahnhofstraße 1
72810;Edeka;Robert-Bosch-Straße 19
72810;real,-;Ohmenhäuser Straße 15
72818;Landmarkt;Grindel 1
72827;Edeka Härig;Alte Spinnerei 2
72827;Thi Nguyen;Hauptstraße 33
72829;Aldi Süd;Keltenstraße 2
72829;Bioladen auf der Alb;Lange Straße 22
73033;EDEKA-Markt Daiber;Apostelhof 1
73033;Erkam Lebensmittel;Lorcher Straße 49
73033;Gebauers Nah und Gut;Rembrandtstraße 27
73033;STAUFERS Markthalle;Stuttgarter Straße 67
73033;denn's Biomarkt;Poststraße 10
73037;Aldi Süd;Esslinger Straße 1
73054;Norma;Stuttgarter Straße 1
73061;Edeka;Bahnhofstraße 3
73066;NORMA;Bahnhofstraße 3
73072;Rewe;Mozartstraße 35
73079;Aldi;Bühlstraße 25
73079;Gebauers Edeka;Bühlstraße 23
73079;Norma;Fabrikstraße 6
73087;Bad Boller Dorfladen;Kirchplatz 1
73098;Lidl;Hauptstraße 14
73117;Edeka Daiber;Siemensstraße 10
73207;Aldi Süd;Ulmer Straße 4
73207;Rewe;Neckarstraße 3
73230;Aldi Süd;Schlierbacher Straße 49
73230;CAP-Markt;Stuttgarter Straße 179
73230;Edeka - Neukauf;Öschweg 3
73230;Edeka;Stuttgarter Straße 1
73230;Lidl;Jesinger Straße 88
73230;Norma;Tannenbergstraße 113
73230;Penny;Wangerhaldenweg 2
73230;cantina adornetto;Teckstraße 12
73230;denn's Biomarkt;Dettinger Straße 107
73240;Aldi Süd;Erlenaustraße 1
73240;Brennessel Naturkost;Unterboihinger Straße 31
73240;Kaufland;Wertstraße 12
73240;Rewe;Bahnhofstraße 76
73249;Aldi Süd;Kranzhaldenstraße 13
73252;Aldi Süd;Im Gänsacker 12
73257;Aldi Süd;Christian-Eisele-Straße 20
73257;CAP-Markt;Stöfflerplatz 4
73257;Edeka Center;Imanuel-Maier-Straße 2
73265;Rewe;Kirchheimer Straße 138
73312;ASIA Shop;Rorgensteig 22
73312;Gebauer's Edeka;Heidenheimer Straße 127
73312;Sonnenblume Naturkost;Karlstraße 6
73333;Netto;Hindenburgstraße 161
73430;Aldi;Weidenfelder Straße 2
73430;Netto;Gartenstraße 2
73430;Penny Markt;Bischof-Fischer-Straße 73
73430;Rewe;Gartenstraße 160
73430;denn's Biomarkt;Fackelbrückenstraße 3
73431;Aldi Süd;Carl-Zeiss-Straße 21
73431;Kaufland;Daimlerstraße 16
73433;Aldi Süd;Auguste-Keßler-Straße 3
73434;EDEKA Miller;Hofherrnstraße 66
73434;Welland Markt;Fachsenfelder Straße 4/1
73441;Sarikaya Markt;Hauptstraße 32
73479;Lidl;Haller Straße 73
73479;Norma;Marienstraße 29
73499;nah & gut;Weiherwehr 6
73525;Gmünder Lädle;Mozartstraße 9
73525;Netto;Weißensteiner Straße 44
73525;Rewe;Ledergasse 44
73525;aura Biomarkt;Weißensteiner Straße 44
73527;Tegut;An der Oberen Halde 64
73529;W-Markt;Rheinstraße 21
73540;Lidl;Friedrichstraße 4
73540;Rewe;Gmünder Straße 49
73557;Penny-Markt;In der Breite 7
73614;Edeka C+C Großmarkt;Steinbeisstraße 35
73614;Lidl;Heinkelstraße 13
73614;Netto Marken-Discount;Göppinger Straße 19
73614;Reformhaus Kaliss;Johann-Philipp-Palm-Straße 11
73614;Sahin Supermarkt;Neue Straße 20
73614;denn's Biomarkt;Karlstraße 3
73630;Rewe;Bahnhofstraße 38
73666;Edeka;Schorndorfer Straße 40
73669;Netto;Am freien Feld 2
73728;Aldi Süd;Dammstraße 5
73728;Alnatura;Berliner Straße 2
73728;Arabischer Supermarkt;Obertorstraße 13
73728;Doğuş Supermarkt Esslingen;Schelztorstraße 49
73728;Naturgut Bio Supermarkt;Adlerstraße 6
73728;Rewe;Berliner Straße 1
73728;Weltladen Esslingen;Küferstraße 12
73730;Edeka;Plochinger Straße 115
73730;Einkaufszentrum Lammgarten;Plochinger Straße 115
73730;Lerchenäcker Frischmarkt Cokengin;Dresdener Straße 20
73732;Edeka;Wäldenbronner Straße 31
73733;Aldi Süd;c(9.2683605, 48.7420619) 3343193757
73734;Rewe;Zollernplatz c(9.305455, 48.7284219)
73760;Aldi Süd;Bonhoefferstraße 2/6
73760;Bonus Markt;Hedelfinger Straße 17
73760;Flecki´s Futterecke;Esslinger Straße 28
73760;Lidl;Edith-Stein-Straße 5
73760;Radio Nagel;Esslinger Straße 28
73760;Real;Bonhoefferstraße 1
73765;Edeka;Albstraße 3
73776;Aldi Süd;Kieswiesen 18
73776;Bauernmarkt Aichele;Bachstraße 29
73779;Penny;Plochinger Straße NA
73779;Rewe;Plochinger Straße 40-42
74072;Asia Markt;Weststraße 48
74072;Asia-Lebensmittel;Bergstraße 21
74072;BIO-Mammut;Gerberstraße 2
74072;Babylon Feinkost;Am Wollhaus 18
74072;D&S Asienmarkt;Bergstraße 14/1
74072;Falafel Barbara;Luisenstraße 30
74072;Kaufland;Olgastraße 57
74072;Liva unverpackt.hn;Allee 73
74072;Naturata;Lixstraße 10
74072;Netto Marken-Discount;Berliner Platz 10
74072;Norma;Sülmermühlstraße 23
74072;Reformhaus Maier;Allee 9
74074;Asia & Afro Markt;Wilhelmstraße 58/1
74076;Benissimo - Ital. Feinkost;Gottlieb-Daimler-Straße 58
74076;Fatih Market;Goppeltstraße 7
74076;Maxikauf;Neckarsulmer Straße 38
74076;Proöko;Kernerstraße 11
74076;Reformhaus Schmidt;Karlstraße 107
74076;Rewe;Etzelstraße 38
74076;denn's Biomarkt;Gottlieb-Daimler-Straße 9
74080;Halk Supermarkt;Ludwigsburger Straße 9
74080;Kaufland;Neckargartacher Straße 111
74080;Lidl;Großgartacher Straße 77
74080;Mix Markt;Sinsheimer Straße 7-11
74080;Penny;Neckargartacher Straße 90
74080;Penny;Schuchmannstraße 4
74172;Neuberglädle;Heidelberger Straße 16
74172;Weltladen;Urbanstraße 12
74177;Netto Marken-Discount;Heuchlinger Straße 4
74182;Netto;Zwerchäcker 16
74182;Penny;Löwensteiner Straße 78
74182;Runkelrübe;Löwensteiner Straße 2
74193;Kaufland;Heilbronner Straße 30
74196;Aldi;Bahnweg 2
74196;Edeka;Bahnweg 6
74196;Penny;Öhringer Straße 35
74206;Rewe;Brühlstraße 2
74206;Weltladen;Hauptstraße 83
74211;ALDI;Dieselstraße 3
74211;Rewe;Dieselstraße 1
74223;SPAR Markt Frank;Kellergasse 4
74321;Aldi Süd;Wobachstraße 11
74321;CAP-Markt;Buchstraße 30
74321;nah und gut;Kreuzstraße 23
74336;denn's Biomarkt;Maulbronner Straße 5
74343;E aktiv markt;Sersheimer Straße 44
74354;AnNa unverpackt -Kaufladen-;Hauptstraße 16
74354;Edeka im Enztal-Center;Riedstraße 4
74354;Hofladen Grill;Husarenhof 26
74354;Norma;Lutzstraße 6
74357;Rewe;Kirchheimer Straße 68
74366;Kirchheimer Dorfladen;Hauptstraße 74
74366;Özaltun Supermarkt;Bahnhofstraße 20
74372;CAP Markt;Talstraße 3
74372;Penny Markt;Industriestraße 1
74376;Rewe;Papierfabrikweg 1
74379;Sparmarkt Fritz;Bietigheimer Straße NA
74379;Willmanns Hofladen;In den Beeten 65
74382;Cap-Markt;c(9.1892873, 49.0467325) 439799436
74389;Spar-Markt Kuch;Hauptstraße 21
74391;Netto;Im Remsel 1
74405;Demeter Biohof Wannenwetsch;Oskar-Bamberg-Straße 18
74427;Norma;Im Hoffeld 1
74523;NA;Dreimühlengasse 3
74523;Naturkost Hall;Lange Straße 2
74532;Netto;Crailsheimer Straße 23
74592;Um's Eck;Hauptstraße 14
74613;Biomarkt Geist;Bismarckstraße 26
74613;Netto Marken-Discount;Hindenburgstraße 11
74626;Netto Marken-Discount;Pestalozzistraße 1
74722;Kaufhaus Kuhn;Neue Buchener Straße 1
74736;Norma;Würzburger Straße 54
74747;Meggis Dorfladen;Blumenstraße 15
