03042;Rewe;Hermannstraße 16
03044;Edeka;Karl-Marx-Straße 68
03048;CAP-Markt;Vetschauer Straße 10
03096;Penny Markt;Bahnhofstraße 15c
03116;Penny;Gartenstraße 7
03172;Aldi;Karl-Marx-Straße 96
03172;Rewe;Karl-Marx-Straße 96
03205;Rewe;Karl-Marx-Straße 10
03205;Lidl;Gewerbepark Nord 1
03229;Edeka Helbig;Marktstraße 5
03238;Kaufland;Sonnewalder Straße 100
03238;NP Discount;Brandenburger Straße 17
03246;Nahkauf;Hauptstraße 107
04895;Rewe;Liebenwerdaer Straße 30
04924;Aldi;Nordring 11 b
04924;EDEKA Höhne;Nordring 11a
04936;NP-Discount;Lange Straße 80
10115;Rewe;Invalidenstraße 158
10115;Bio Company;Chausseestraße 19
10115;Rewe;Chausseestraße 118-120
10115;BIO DELI Natur- und Feinkost Berlin Mitte;Invalidenstraße 153
10115;Kosherlife Koshere Lebensmittel;Brunnenstraße 31
10115;Alnatura;Chausseestraße 10
10119;Rewe;Schönhauser Allee 10-11
10119;denn's Biomarkt;Templiner Straße 12
10119;Bio Company;Brunnenstraße 6
10119;nahcity;Rosenthaler Straße 11
10119;Edeka;Templiner Straße 12
10245;denn's Biomarkt;Boxhagener Straße 103
10245;Lidl;Warschauer Platz 14
10245;Bio Company;Boxhagener Straße 73
10245;Kernkraft - Rund um die Nuss;Markgrafendamm 3
10245;Netto;Corinthstraße 36
10245;Penny BOX80;Boxhagener Straße 80
10247;Edeka;Frankfurter Allee 35 - 37
10247;Netto Marken-Discount;Frankfurter Allee 57-59
10247;Kiezmarkt;Weidenweg 56
10247;Edeka Ringcenter;Frankfurter Allee 105
10247;Bio Company;Voigtstraße 38
10247;Wurzelwerk Bioladen;Oderstraße 10
10247;Edeka Rigaer Straße;Rigaer Straße 44
10247;Rewe;Eldenaer Straße 42
10247;Hao Hao;Voigtstraße 40
10247;Schnell Minimarkt;Voigtstraße 43
10247;LIDL;Rigaer Straße 37
10315;Rewe;Alfred-Kowalke-Straße 2
10315;Penny;Seddiner Straße 8
10315;Aldi;Alfred-Kowalke-Straße 3
10315;NP;Massower Straße 5
10409;Edeka Ostseestraße;Ostseestraße 107-109
10409;Netto;Greifswalder Straße 90
10409;Penny;Grellstraße 75
10409;Rewe;Grellstraße 75
10409;Spreewald Müller;Greifswalder Straße 87
10435;Lidl;Choriner Straße 64/64a
10435;Gaumenweide;Granseer Straße 8
10435;Rewe;Schönhauser Allee 36-39
10435;denn's Biomarkt;Bernauer Straße 50
10439;Alnatura;Schönhauser Allee 108
10439;Netto Marken-Discount;Schönhauser Allee 78
10439;Veganz;Schivelbeiner Straße 34
10439;denn's Biomarkt;Schönhauser Allee 80
10551;Rewe;Turmstraße 60
10551;Edeka;Wiclefstraße 60-62
10551;Penny;Turmstraße None
10551;Norma;Bremer Straße 9
10551;Go Asia Berlin-Mitte;Turmstraße 29
10553;Doğan Supermarkt;Beusselstraße 76
10555;Edeka Simon;Levetzowstraße 10-10a
10555;Netto Marken-Discount;Alt-Moabit 86A
10555;Grüner Laden;Bundesratufer 5
10555;TS Foods Supermarkt;Alt-Moabit 74
10559;Edeka;Rathenower Straße 48
10559;Edeka;Stephanstraße 37-43
10559;Habibi;Stendaler Straße None
10585;Rewe;Otto-Suhr-Allee None
10585;Penny;Wilmersdorfer Straße 32-33
10585;Rewe;Otto-Suhr-Allee 80-82
