01945;Lidl;Berliner Straße 1;51.4605386;13.8681502;97441942
01945;Netto Marken-Discount;Elsterbogen 3;51.4604063;13.8695495;763497362
01968;Netto;Schulstraße 12;51.5168628;14.0000424;80353640
01968;Kaufland;Briesker Straße 4;51.5114818;13.9807146;80440195
01968;Netto Marken-Discount;Straße des Bergmanns 12;51.5203197;13.9793492;98315066
01968;Rewe;Bahnhofstraße 40;51.5239847;14.0028841;168647316
01968;ALDI;Bahnhofstraße 38;51.5231538;14.0028397;175449299
01979;Lidl;Gerhart-Hauptmann-Straße 6a;51.4982464;13.7685684;137638742
01979;Marktkauf;Liebenwerdaer Straße 46;51.4703675;13.7598627;551285494
01983;ALDI;IFA-Park 2;51.5907240;14.0124139;35778935
01983;Netto Marken-Discount;Wilhelm-Pieck-Straße 103;51.5947405;14.0035640;45765276
01983;Lidl;Freienhufener Straße 21;51.5855442;14.0014286;180206739
01990;Nahkauf;Großenhainer Straße 15;51.3733704;13.7582079;105206748
01993;Penny Markt;Ruhlander Straße 19;51.5165607;13.8928776;32502671
01996;NP;Karl-Marx-Straße 1;51.4532488;14.0246318;137547723
03042;Rewe;Hermannstraße 16;51.7633619;14.3481055;1578303898
03042;Lidl;Dissenchener Straße 16;51.7628065;14.3520872;23179954
03044;Edeka;Karl-Marx-Straße 68;51.7618594;14.3291786;1641346444
03044;Lidl;Sielower Landstraße 21;51.7723371;14.3260190;127686957
03044;Aldi Nord;Limberger Straße 1;51.7815097;14.3180334;130542743
03046;The-Hung Nguyen Asia-Markt;Oberkirchplatz 2;51.7611094;14.3358738;3186620615
03046;Witschaftsraum Cottbus;Spremberger Straße 31;51.7588440;14.3333080;4723019492
03046;Kultix;Spremberger Straße 30;51.7587274;14.3333051;4723042733
03046;elbenwald;Spremberger Straße 44;51.7602451;14.3334426;4723115310
03046;Stoffhaus;Stadtpromenade 11;51.7590780;14.3299241;6206522838
03046;Rewe;Schweriner Straße 1;51.7609152;14.3174808;129258310
03046;Netto Marken-Discount;Ewald-Müller-Straße 2;51.7576048;14.3094203;129643353
03048;CAP-Markt;Vetschauer Straße 10;51.7490112;14.3268341;3964105612
03048;Spar Express;Vetschauer Straße 70;51.7503568;14.3254105;5071468400
03048;Norma;Boxberger Straße 21;51.7323124;14.3249006;131993926
03048;Penny;Turower Straße 62;51.7254588;14.3213768;141548597
03050;Norma;Schopenhauerstraße 5;51.7219298;14.3248543;25421478
03050;Lidl;Kleiststraße 7;51.7256244;14.3358429;131447384
03050;Kaufland;Hardenbergstraße 5;51.7348218;14.3345666;139040054
03051;Marktkauf;Madlower Chaussee 4;51.7183059;14.3208044;976769772
03051;Aldi;Sachsendorfer Straße 5;51.7156884;14.3173250;30761805
03051;NETTO;Gallinchener Hauptstraße 4;51.7156387;14.3517888;149170136
03096;Penny Markt;Bahnhofstraße 15c;51.8349497;14.1452021;265837171
03096;Netto;Hauptstraße 53;51.8298595;14.1464033;103630088
03096;Edeka;Raiffeisenstraße 6;51.8374185;14.1464789;123157258
03099;Real;Berliner Straße 114;51.7521996;14.2614009;16221787
03116;Penny;Gartenstraße 7;51.6554378;14.2216713;3121960969
03130;Einkaufszentrum;Straße der Einheit 8;51.6057126;14.4104204;1236571899
03130;Netto Einkaufsmarkt;Adolf-Damaschke-Platz 23;51.5756009;14.3892656;3881881273
03130;Kaufland;An der Lusatia 1;51.5578485;14.3560748;71166294
03130;Norma;Dresdener Chaussee 88;51.5261704;14.3368628;111537678
03130;Norma;Heinrichsfelder Allee 39;51.5658436;14.3533952;122432671
03130;ALDI;Grünstraße 3;51.5627975;14.3721823;122560616
03130;Netto Marken-Discount;Dresdener Straße 28;51.5669443;14.3681790;138442899
03130;Netto Marken-Discount;Karl-Marx-Straße 73;51.5641383;14.3744819;156651589
03149;Lidl;Spremberger Straße 10;51.7365419;14.6388053;54857029
03149;Aldi;Cottbuser Straße 92;51.7455653;14.6342112;223395706
03149;NP;Cottbuser Straße 131;51.7475590;14.6307679;223397179
03149;NP;Triebeler Straße 106;51.7274823;14.6477796;261070544
03159;Norma;Gewerbegebiet Süd 7;51.6032497;14.6109725;110526190
03159;Lidl;Aufbaustraße 17;51.6155117;14.5948906;178881626
03159;Netto Marken-Discount;Forster Straße 77;51.6165963;14.5939256;178881627
03159;Konsum;Aufbaustraße ;51.6153860;14.5924281;186114438
03172;Aldi;Karl-Marx-Straße 96;51.9561742;14.7041435;1838653366
03172;Rewe;Karl-Marx-Straße 96;51.9554272;14.7037920;3029957034
03172;Netto Marken-Discount;Karl-Marx-Straße 95;51.9558321;14.7017033;122981042
03172;Norma;Karl-Marx-Straße 86;51.9514915;14.7030342;135776699
03172;Netto Marken-Discount;Klaus-Herrmann-Straße 28;51.9531746;14.6866131;143405478
03172;Kerki - der Dorfladen;Hauptstraße 69a;51.9118619;14.6437814;178411857
03185;Norma;Am Teufelsteich 6;51.8503865;14.3984151;849609898
03185;Lidl;Cottbuser Straße 7A;51.8521347;14.4068625;34105893
03185;Edeka;Gubener Straße 6;51.8608204;14.4152672;150925634
03185;Netto Marken-Discount;Gubener Straße 7;51.8602378;14.4142541;150925646
03205;Rewe;Karl-Marx-Straße 10;51.7442571;13.9562317;267509423
03205;Lidl;Gewerbepark Nord 1;51.7492310;13.9533752;717941308
03205;Netto Marken-Discount;Karl-Marx-Straße 12a;51.7441387;13.9556840;51909617
03222;ALDI;Am Kaufland 3;51.8665727;13.9383933;1499322892
03222;Kaufland;Am Kaufland 1;51.8674546;13.9401639;3964952615
